Team1,Team2,Team1_Win_Percentage,Team2_Win_Percentage
Arizona,Duke,98.56,1.4399999999999977
Arizona,Duquesne,100.0,0.0
Arizona,Florida,0.0,100.0
Arizona,Florida Atlantic,4.21,95.79
Arizona,Gonzaga,0.13,99.87
Arizona,Grambling,100.0,0.0
Arizona,Grand Canyon,100.0,0.0
Arizona,Houston,100.0,0.0
Arizona,Howard,33.97,66.03
Arizona,Illinois,0.0,100.0
Arizona,Iowa State,100.0,0.0
Arizona,James Madison,100.0,0.0
Arizona,Kansas,100.0,0.0
Arizona,Kentucky,7.829999999999999,92.17
Arizona,Long Beach State,100.0,0.0
Arizona,Longwood,96.55,3.450000000000003
Arizona,Marquette,100.0,0.0
Arizona,McNeese State,100.0,0.0
Arizona,Michigan State,100.0,0.0
Arizona,Mississippi State,100.0,0.0
Arizona,Montana State,100.0,0.0
Arizona,Morehead State,95.75,4.25
Arizona,NC State,100.0,0.0
Arizona,Nebraska,100.0,0.0
Arizona,Nevada,100.0,0.0
Arizona,New Mexico,100.0,0.0
Arizona,North Carolina,100.0,0.0
Arizona,Northwestern,100.0,0.0
Arizona,Oakland,100.0,0.0
Arizona,Oregon,100.0,0.0
Arizona,Purdue,0.0,100.0
Arizona,Saint Mary's (CA),97.99,2.010000000000005
Arizona,Saint Peter's,100.0,0.0
Arizona,Samford,98.7,1.2999999999999972
Arizona,San Diego State,100.0,0.0
Arizona,South Carolina,100.0,0.0
Arizona,South Dakota State,100.0,0.0
Arizona,Stetson,18.86,81.14
Arizona,TCU,94.39,5.609999999999999
Arizona,Tennessee,100.0,0.0
Arizona,Texas,100.0,0.0
Arizona,Texas A&M,0.0,100.0
Arizona,Texas Tech,99.92999999999999,0.07000000000000739
Arizona,UAB,0.73,99.27
Arizona,Utah State,100.0,0.0
Arizona,Vermont,100.0,0.0
Arizona,Virginia,100.0,0.0
Arizona,Wagner,100.0,0.0
Arizona,Washington State,100.0,0.0
Arizona,Western Kentucky,100.0,0.0
Arizona,Wisconsin,99.61,0.39000000000000057
Arizona,Yale,100.0,0.0
Auburn,Baylor,0.0,100.0
Auburn,Boise State,23.82,76.18
Auburn,Brigham Young,0.79,99.21
Auburn,Clemson,99.0,1.0
Auburn,Colgate,100.0,0.0
Auburn,College of Charleston,10.6,89.4
Auburn,Colorado,0.0,100.0
Auburn,Colorado State,100.0,0.0
Auburn,Connecticut,0.0,100.0
Auburn,Creighton,96.72,3.280000000000001
Auburn,Dayton,99.59,0.4099999999999966
Auburn,Drake,100.0,0.0
Auburn,Duke,16.73,83.27
Auburn,Duquesne,100.0,0.0
Auburn,Florida,0.0,100.0
Auburn,Florida Atlantic,0.0,100.0
Auburn,Gonzaga,0.0,100.0
Auburn,Grambling,100.0,0.0
Auburn,Grand Canyon,98.79,1.2099999999999937
Auburn,Houston,100.0,0.0
Auburn,Howard,0.04,99.96
Auburn,Illinois,0.0,100.0
Auburn,Iowa State,100.0,0.0
Auburn,James Madison,100.0,0.0
Auburn,Kansas,100.0,0.0
Auburn,Kentucky,0.0,100.0
Auburn,Long Beach State,99.92999999999999,0.07000000000000739
Auburn,Longwood,10.36,89.64
Auburn,Marquette,100.0,0.0
Auburn,McNeese State,71.06,28.939999999999998
Auburn,Michigan State,100.0,0.0
Auburn,Mississippi State,78.2,21.799999999999997
Auburn,Montana State,100.0,0.0
Auburn,Morehead State,8.73,91.27
Auburn,NC State,100.0,0.0
Auburn,Nebraska,100.0,0.0
Auburn,Nevada,100.0,0.0
Auburn,New Mexico,100.0,0.0
Auburn,North Carolina,87.47,12.530000000000001
Auburn,Northwestern,100.0,0.0
Auburn,Oakland,99.44,0.5600000000000023
Auburn,Oregon,100.0,0.0
Auburn,Purdue,0.0,100.0
Auburn,Saint Mary's (CA),14.23,85.77
Auburn,Saint Peter's,100.0,0.0
Auburn,Samford,17.0,83.0
Auburn,San Diego State,100.0,0.0
Auburn,South Carolina,83.58,16.42
Auburn,South Dakota State,100.0,0.0
Auburn,Stetson,0.0,100.0
Auburn,TCU,6.1,93.9
Auburn,Tennessee,100.0,0.0
Auburn,Texas,100.0,0.0
Auburn,Texas A&M,0.0,100.0
Auburn,Texas Tech,51.27,48.73
Auburn,UAB,0.0,100.0
Auburn,Utah State,95.58,4.420000000000002
Auburn,Vermont,100.0,0.0
Auburn,Virginia,100.0,0.0
Auburn,Wagner,100.0,0.0
Auburn,Washington State,99.72999999999999,0.27000000000001023
Auburn,Western Kentucky,100.0,0.0
Auburn,Wisconsin,30.39,69.61
Auburn,Yale,100.0,0.0
Baylor,Boise State,100.0,0.0
